dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws8,8,25,32,0.999276780157987,0.9912681178378944,0.9956918796418875,0.9748890548793884,0.985180662707443,0.9935868927833594,107178,192,1143,44375,8468.2,211705,4234.6,105865,random_forest_ws8_trees25_depth32.pkl,feature_list_ws8_trees25_depth32.txt
ws8,8,50,2,0.9035678845539303,0.903347548532259,0.7948437589917707,0.9103211916165034,0.8486722854304704,0.971469886202222,96675,10695,4082,41436,7.0,350,4.0,200,random_forest_ws8_trees50_depth2.pkl,feature_list_ws8_trees50_depth2.txt
ws8,8,50,4,0.9848488246275978,0.984537700800586,0.9989593932106188,0.9490531218419087,0.9733669813658998,0.9906626967920149,107325,45,2319,43199,24.92,1246,12.96,648,random_forest_ws8_trees50_depth4.pkl,feature_list_ws8_trees50_depth4.txt
ws8,8,50,8,0.9900431128727526,0.9897310449479357,0.9991821899136756,0.9662990465310427,0.9824655453550448,0.9952719303284485,107334,36,1534,43984,193.56,9678,97.28,4864,random_forest_ws8_trees50_depth8.pkl,feature_list_ws8_trees50_depth8.txt
ws8,8,50,16,0.9930060716828597,0.9915101250588666,0.9960290752456589,0.9753723801573004,0.9855925054388847,0.9962337673562164,107193,177,1121,44397,1969.2,98460,985.1,49255,random_forest_ws8_trees50_depth16.pkl,feature_list_ws8_trees50_depth16.txt
ws8,8,50,32,0.9995767201699847,0.9913008215164042,0.9957368515526835,0.9749549628718309,0.9852363297293697,0.994534680140682,107180,190,1140,44378,8459.88,422994,4230.44,211522,random_forest_ws8_trees50_depth32.pkl,feature_list_ws8_trees50_depth32.txt
ws16,16,1,2,0.9330439652758331,0.931771255325266,0.9814156873462695,0.7862585391487126,0.8730641122267876,0.8916196202988713,53346,340,4881,17955,5.0,5,3.0,3,random_forest_ws16_trees1_depth2.pkl,feature_list_ws16_trees1_depth2.txt
ws16,16,1,4,0.9449397927751331,0.9444996210240192,0.995997651955814,0.8173060080574531,0.8978472639807576,0.9493035182222243,53611,75,4172,18664,15.0,15,8.0,8,random_forest_ws16_trees1_depth4.pkl,feature_list_ws16_trees1_depth4.txt
ws16,16,1,8,0.9890002800336041,0.9889443558715141,0.9980070658574146,0.964880014012962,0.9811640023155364,0.9949549455839134,53642,44,802,22034,87.0,87,44.0,44,random_forest_ws16_trees1_depth8.pkl,feature_list_ws16_trees1_depth8.txt
ws16,16,1,16,0.9931503780453654,0.9910221896970806,0.9903041572586001,0.9795060430898581,0.984875503599498,0.9918672695351645,53467,219,468,22368,1157.0,1157,579.0,579,random_forest_ws16_trees1_depth16.pkl,feature_list_ws16_trees1_depth16.txt
